subset,slide_id,patch_id,biological_class,medical_center
tumor-UMCU,test_016,16703,tumor,UMCU
normal-RUMC,test_056,25285,normal,RUMC
normal-UMCU,normal_150,3038,normal,UMCU
tumor-RUMC,tumor_039,56385,tumor,RUMC
tumor-UMCU,tumor_072,6222,tumor,UMCU
tumor-RUMC,tumor_016,29694,tumor,RUMC
tumor-UMCU,tumor_085,12694,tumor,UMCU
tumor-UMCU,tumor_102,57073,tumor,UMCU
tumor-UMCU,test_073,34247,tumor,UMCU
normal-UMCU,normal_130,18456,normal,UMCU
normal-UMCU,normal_137,17684,normal,UMCU
tumor-RUMC,tumor_044,45694,tumor,RUMC
normal-UMCU,normal_121,56792,normal,UMCU
normal-UMCU,test_044,10013,normal,UMCU
tumor-RUMC,tumor_054,51631,tumor,RUMC
tumor-UMCU,tumor_109,36837,tumor,UMCU
normal-RUMC,normal_045,41782,normal,RUMC
tumor-RUMC,test_068,34886,tumor,RUMC
normal-UMCU,normal_125,19045,normal,UMCU
tumor-UMCU,test_113,25321,tumor,UMCU
tumor-UMCU,tumor_078,16426,tumor,UMCU
normal-UMCU,normal_130,17230,normal,UMCU
tumor-UMCU,tumor_101,8152,tumor,UMCU
normal-UMCU,normal_101,18270,normal,UMCU
tumor-RUMC,tumor_064,59310,tumor,RUMC
normal-RUMC,test_056,68621,normal,RUMC
tumor-UMCU,tumor_101,7031,tumor,UMCU
normal-RUMC,test_059,44401,normal,RUMC
tumor-RUMC,tumor_054,43807,tumor,RUMC
normal-RUMC,test_039,59059,normal,RUMC
tumor-UMCU,tumor_109,32281,tumor,UMCU
tumor-RUMC,tumor_058,31012,tumor,RUMC
normal-RUMC,normal_045,44211,normal,RUMC
normal-RUMC,normal_064,62193,normal,RUMC
normal-UMCU,test_095,3087,normal,UMCU
normal-UMCU,normal_137,44591,normal,UMCU
tumor-UMCU,tumor_110,15994,tumor,UMCU
normal-UMCU,normal_138,50512,normal,UMCU
normal-RUMC,test_107,49942,normal,RUMC
tumor-RUMC,test_021,52492,tumor,RUMC
normal-RUMC,normal_054,20996,normal,RUMC
normal-UMCU,normal_141,526,normal,UMCU
normal-RUMC,test_059,47436,normal,RUMC
