subset,slide_id,patch_id,biological_class,medical_center
ID,case_030,advent.100,ADVENT,VALSET2_WNS
ID,case_030,advent.102,ADVENT,VALSET2_WNS
ID,case_030,advent.103,ADVENT,VALSET2_WNS
ID,case_030,advent.106,ADVENT,VALSET2_WNS
ID,case_030,advent.107,ADVENT,VALSET2_WNS
ID,case_030,advent.110,ADVENT,VALSET2_WNS
ID,case_030,advent.115,ADVENT,VALSET2_WNS
ID,case_030,advent.120,ADVENT,VALSET2_WNS
ID,case_030,advent.121,ADVENT,VALSET2_WNS
ID,case_030,advent.126,ADVENT,VALSET2_WNS
ID,case_030,advent.128,ADVENT,VALSET2_WNS
ID,case_030,advent.131,ADVENT,VALSET2_WNS
ID,case_030,advent.136,ADVENT,VALSET2_WNS
ID,case_030,advent.138,ADVENT,VALSET2_WNS
ID,case_030,advent.139,ADVENT,VALSET2_WNS
ID,case_030,advent.141,ADVENT,VALSET2_WNS
ID,case_030,advent.142,ADVENT,VALSET2_WNS
ID,case_030,advent.146,ADVENT,VALSET2_WNS
ID,case_030,advent.151,ADVENT,VALSET2_WNS
ID,case_030,advent.153,ADVENT,VALSET2_WNS
ID,case_030,advent.154,ADVENT,VALSET2_WNS
ID,case_030,advent.155,ADVENT,VALSET2_WNS
ID,case_030,advent.159,ADVENT,VALSET2_WNS
ID,case_030,advent.16,ADVENT,VALSET2_WNS
ID,case_030,advent.162,ADVENT,VALSET2_WNS
ID,case_030,advent.165,ADVENT,VALSET2_WNS
ID,case_030,advent.166,ADVENT,VALSET2_WNS
ID,case_030,advent.167,ADVENT,VALSET2_WNS
ID,case_030,advent.170,ADVENT,VALSET2_WNS
ID,case_030,advent.172,ADVENT,VALSET2_WNS
ID,case_030,advent.173,ADVENT,VALSET2_WNS
ID,case_030,advent.174,ADVENT,VALSET2_WNS
ID,case_030,advent.175,ADVENT,VALSET2_WNS
ID,case_030,advent.177,ADVENT,VALSET2_WNS
ID,case_030,advent.178,ADVENT,VALSET2_WNS
ID,case_030,advent.181,ADVENT,VALSET2_WNS
ID,case_030,advent.186,ADVENT,VALSET2_WNS
ID,case_030,advent.190,ADVENT,VALSET2_WNS
ID,case_030,advent.191,ADVENT,VALSET2_WNS
ID,case_030,advent.192,ADVENT,VALSET2_WNS
ID,case_030,advent.193,ADVENT,VALSET2_WNS
ID,case_030,advent.194,ADVENT,VALSET2_WNS
ID,case_030,advent.196,ADVENT,VALSET2_WNS
ID,case_030,advent.197,ADVENT,VALSET2_WNS
ID,case_030,advent.204,ADVENT,VALSET2_WNS
ID,case_030,advent.208,ADVENT,VALSET2_WNS
ID,case_030,advent.210,ADVENT,VALSET2_WNS
ID,case_030,advent.211,ADVENT,VALSET2_WNS
ID,case_030,advent.212,ADVENT,VALSET2_WNS
ID,case_030,advent.216,ADVENT,VALSET2_WNS
ID,case_030,advent.217,ADVENT,VALSET2_WNS
ID,case_030,advent.218,ADVENT,VALSET2_WNS
ID,case_030,advent.219,ADVENT,VALSET2_WNS
ID,case_030,advent.22,ADVENT,VALSET2_WNS
ID,case_030,advent.221,ADVENT,VALSET2_WNS
ID,case_030,advent.227,ADVENT,VALSET2_WNS
ID,case_030,advent.23,ADVENT,VALSET2_WNS
ID,case_030,advent.233,ADVENT,VALSET2_WNS
ID,case_030,advent.236,ADVENT,VALSET2_WNS
ID,case_030,advent.244,ADVENT,VALSET2_WNS
ID,case_030,advent.252,ADVENT,VALSET2_WNS
ID,case_030,advent.256,ADVENT,VALSET2_WNS
ID,case_030,advent.261,ADVENT,VALSET2_WNS
ID,case_030,advent.262,ADVENT,VALSET2_WNS
ID,case_030,advent.265,ADVENT,VALSET2_WNS
ID,case_030,advent.266,ADVENT,VALSET2_WNS
ID,case_030,advent.268,ADVENT,VALSET2_WNS
ID,case_030,advent.27,ADVENT,VALSET2_WNS
ID,case_030,advent.273,ADVENT,VALSET2_WNS
ID,case_030,advent.274,ADVENT,VALSET2_WNS
ID,case_030,advent.282,ADVENT,VALSET2_WNS
ID,case_030,advent.283,ADVENT,VALSET2_WNS
ID,case_030,advent.291,ADVENT,VALSET2_WNS
ID,case_030,advent.292,ADVENT,VALSET2_WNS
ID,case_030,advent.34,ADVENT,VALSET2_WNS
ID,case_030,advent.35,ADVENT,VALSET2_WNS
ID,case_030,advent.36,ADVENT,VALSET2_WNS
ID,case_030,advent.37,ADVENT,VALSET2_WNS
ID,case_030,advent.39,ADVENT,VALSET2_WNS
ID,case_030,advent.4,ADVENT,VALSET2_WNS
ID,case_030,advent.43,ADVENT,VALSET2_WNS
ID,case_030,advent.45,ADVENT,VALSET2_WNS
ID,case_030,advent.46,ADVENT,VALSET2_WNS
ID,case_030,advent.48,ADVENT,VALSET2_WNS
ID,case_030,advent.50,ADVENT,VALSET2_WNS
ID,case_030,advent.53,ADVENT,VALSET2_WNS
ID,case_030,advent.56,ADVENT,VALSET2_WNS
ID,case_030,advent.59,ADVENT,VALSET2_WNS
ID,case_030,advent.64,ADVENT,VALSET2_WNS
ID,case_030,advent.65,ADVENT,VALSET2_WNS
ID,case_030,advent.69,ADVENT,VALSET2_WNS
ID,case_030,advent.71,ADVENT,VALSET2_WNS
ID,case_030,advent.75,ADVENT,VALSET2_WNS
ID,case_030,advent.79,ADVENT,VALSET2_WNS
ID,case_030,advent.82,ADVENT,VALSET2_WNS
ID,case_030,advent.84,ADVENT,VALSET2_WNS
ID,case_030,advent.90,ADVENT,VALSET2_WNS
ID,case_030,advent.92,ADVENT,VALSET2_WNS
ID,case_030,advent.97,ADVENT,VALSET2_WNS
ID,case_030,advent.99,ADVENT,VALSET2_WNS
ID,case_030,regr_tu.10,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.1005,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.1009,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.1013,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.1016,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.102,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.1038,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.1076,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.1114,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.1133,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.1134,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.1139,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.1141,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.1148,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.1176,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.1190,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.1195,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.1200,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.1203,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.1209,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.1225,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.1226,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.1244,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.1249,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.1263,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.1286,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.1297,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.1321,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.1348,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.1379,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.1381,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.140,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.1400,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.1407,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.1411,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.1422,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.1425,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.156,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.160,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.169,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.175,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.206,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.208,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.232,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.249,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.251,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.278,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.281,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.290,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.297,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.301,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.305,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.307,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.339,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.347,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.348,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.37,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.389,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.394,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.397,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.40,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.429,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.43,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.459,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.521,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.544,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.546,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.571,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.585,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.587,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.60,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.611,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.62,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.646,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.647,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.666,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.715,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.721,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.742,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.751,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.763,REGR_TU,VALSET2_WNS
ID,case_030,regr_tu.783,REGR_TU,VALSET2_WNS
